All images under CC0 licence, except images from wikipedia (CC-BY SA, published by the german government)
8-1_plane, https://svgsilh.com/de/image/155574.html, 0
8-1_carsharing, https://de.wikipedia.org/wiki/Datei:Carsharing,_Sinnbilder_der_StVO_nach_%C2%A7_39,_Absatz_11;_StVO_2020.svg, 0
8-1_ev, https://de.wikipedia.org/wiki/Bildtafel_der_Verkehrszeichen_in_der_Bundesrepublik_Deutschland_von_2013_bis_2017#/media/Datei:Sinnbild_elektrisch_betriebenes_Fahrzeug_StVO_2015.svg, 0
All other for 8-1, https://de.wikipedia.org/wiki/Bildtafel_der_Verkehrszeichen_in_der_Bundesrepublik_Deutschland_von_2013_bis_2017, 1
9-1_stop_line, https://unsplash.com/photos/_Vm8XWJ9UaQ, 0
9-1_hold_line, https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Zeichen_341_–_Wartelinie%2C_StVO_1970.svg/2370px-Zeichen_341_–_Wartelinie%2C_StVO_1970.svg.png, 0
9_1_reflector_lamps, https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Zebrastreifen_mit_Markierungsleuchtknoepfen_bei_Nacht.jpg/800px-Zebrastreifen_mit_Markierungsleuchtknoepfen_bei_Nacht.jpg, 0
9-1_pedestrian_crossing, https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Fussgaengerfurt.jpg/1200px-Fussgaengerfurt.jpg, 0
9-1_bicycle_crossing, https://upload.wikimedia.org/wikipedia/commons/0/02/Potsdamer_Straße%2C_Radspur_im_Bereich_Einmündung_Katzbachstraße_-_panoramio.jpg, 0
9-1_shark_tooth, https://de.wikipedia.org/wiki/Datei:Zeichen_342_-_Haifischz%C3%A4hne;_StVO_2020.svg, 0
10-1_asphalt, https://unsplash.com/photos/jqu6H5-snFI, 0
10-1_concrete, https://unsplash.com/photos/0UI3lx7XxB4, 0
10-1_brick, https://unsplash.com/photos/W0jHKjnBe9o, 0
10-1_gravel, https://unsplash.com/photos/kpCYQXfc0dc, 0
10-3_cracked, https://unsplash.com/photos/Jz_sPJzOeR4, 0
10-3_bitumen, https://unsplash.com/photos/x3-gSSJxRBs, 0
10-3_bitumen_2, https://unsplash.com/photos/-e2UveP2vsU, 0
10-3_potholes, http://i.huffpost.com/gen/1018002/images/o-CHICAGO-POTHOLE-SEASON-facebook.jpg, 0
10-3_ruts, https://upload.wikimedia.org/wikipedia/commons/7/76/DK1_koleiny.jpg, 0
10-3_damaged, http://s0.geograph.org.uk/geophotos/03/80/70/3807006_40bc0109.jpg, 0
11-1_street_lamp, https://www.pexels.com/de-de/foto/foto-von-strassenlaternen-wahrend-der-morgendammerung-1671001/, 0
11-1_traffic_island, https://c1.staticflickr.com/7/6209/6055377019_1e1fcd29a5_b.jpg, 0
